,Player,tm,pos,yr2019_20,avg_cost_per_pt,Age,PER,pts,g,mp,ast,stl,blk
1346,Juwan Morgan,UTA,PF,746054.0,20723.72,22,10.1,36.0,21.0,134.0,6.0,1.0,2.0
1347,Dragan Bender,GSW,SF,1678854.0,20726.59,22,10.9,81.0,9.0,195.0,19.0,4.0,4.0
1348,Trey Burke,DAL,PG,2028594.0,21131.19,27,15.4,96.0,8.0,191.0,30.0,9.0,1.0
1349,Kawhi Leonard,LAC,SF,32742000.0,21219.7,28,26.9,1543.0,57.0,1848.0,280.0,103.0,33.0
1350,DeAndre Jordan,BRK,C,9881598.0,21250.75,31,19.9,465.0,56.0,1234.0,105.0,18.0,52.0
1351,Kelly Olynyk,MIA,C,11667885.0,21252.98,28,14.6,549.0,67.0,1300.0,116.0,45.0,23.0
1352,Ty Jerome,PHO,PG,2193480.0,21504.71,22,7.9,102.0,31.0,328.0,44.0,15.0,3.0
1353,Tobias Harris,PHI,PF,31034483.0,21994.67,27,17.2,1411.0,72.0,2469.0,227.0,53.0,40.0
1354,LeBron James,LAL,PG,37436858.0,22047.62,35,25.5,1698.0,67.0,2316.0,684.0,78.0,36.0
1355,Aaron Gordon,ORL,PF,19863636.0,22218.83,24,15.1,894.0,62.0,2017.0,228.0,51.0,39.0
1356,D.J. Wilson,MIL,PF,2961120.0,22264.06,23,8.2,133.0,37.0,363.0,25.0,3.0,5.0
1357,Jrue Holiday,NOP,SG,26131111.0,22391.7,29,17.0,1167.0,61.0,2117.0,408.0,99.0,48.0
1358,Malcolm Brogdon,IND,PG,20000000.0,22396.42,27,17.7,893.0,54.0,1666.0,381.0,35.0,10.0
1359,Bobby Portis,NYK,C,15000000.0,22455.09,24,14.6,668.0,66.0,1393.0,98.0,32.0,18.0
1360,Cody Zeller,CHO,C,14471910.0,22541.92,27,18.8,642.0,58.0,1341.0,88.0,40.0,25.0
1361,Allonzo Trier,NYK,PG,3551100.0,22910.32,24,14.5,155.0,24.0,291.0,28.0,3.0,4.0
1362,Nikola Vučević,ORL,C,28000000.0,23045.27,29,21.9,1215.0,62.0,1998.0,222.0,54.0,47.0
1363,Harrison Barnes,SAC,PF,24147727.0,23085.78,27,13.3,1046.0,72.0,2482.0,159.0,43.0,12.0
1364,Kyle Anderson,MEM,PF,9073050.0,23264.23,26,12.5,390.0,67.0,1330.0,162.0,54.0,37.0
1365,Treveon Graham,ATL,SG,1678854.0,23317.42,26,8.0,72.0,22.0,266.0,15.0,7.0,4.0
1366,Kristaps Porziņģis,DAL,PF,27285000.0,23440.72,24,20.2,1164.0,57.0,1814.0,102.0,41.0,115.0
1367,Joel Embiid,PHI,C,27504630.0,23468.11,25,25.8,1172.0,51.0,1506.0,152.0,45.0,65.0
1368,Patrick McCaw,TOR,SF,4000000.0,23529.41,24,7.3,170.0,37.0,908.0,79.0,39.0,4.0
1369,Khris Middleton,MIL,SF,30603448.0,23595.57,28,21.1,1297.0,62.0,1853.0,265.0,53.0,7.0
1370,Ante Žižić,CLE,C,2281800.0,23768.75,23,16.4,96.0,22.0,221.0,6.0,7.0,5.0
1371,Myles Turner,IND,C,18000000.0,24032.04,23,14.8,749.0,62.0,1826.0,72.0,46.0,132.0
1372,Tony Snell,DET,SF,11392857.0,24035.56,28,9.7,474.0,59.0,1641.0,127.0,32.0,15.0
1373,Rudy Gobert,UTA,C,25008427.0,24374.69,27,21.7,1026.0,68.0,2333.0,101.0,51.0,135.0
1374,Chimezie Metu,SAS,PF,1416852.0,24428.48,22,22.2,58.0,18.0,105.0,10.0,3.0,6.0
1375,Jaylen Nowell,MIN,SG,1400000.0,24561.4,20,10.5,57.0,15.0,151.0,19.0,3.0,1.0
1376,Russell Westbrook,HOU,PG,38178000.0,24583.39,31,21.0,1553.0,57.0,2049.0,401.0,93.0,20.0
1377,Rodney McGruder,LAC,SG,4629630.0,24757.38,28,6.7,187.0,56.0,871.0,36.0,26.0,8.0
1378,Rodney Hood,POR,SF,5718000.0,24860.87,27,12.2,230.0,21.0,619.0,32.0,17.0,4.0
1379,Malik Newman,CLE,SG,50752.0,25376.0,22,-11.4,2.0,1.0,4.0,0.0,0.0,0.0
1380,Tyler Cook,DEN,PF,101504.0,25376.0,22,19.4,4.0,2.0,19.0,0.0,2.0,0.0
1381,Miye Oni,UTA,SG,898310.0,25666.0,22,9.7,35.0,10.0,109.0,4.0,4.0,2.0
1382,Taj Gibson,NYK,C,9800000.0,25857.52,34,16.1,379.0,62.0,1025.0,52.0,27.0,30.0
1383,LaMarcus Aldridge,SAS,C,26000000.0,25974.03,34,19.7,1001.0,53.0,1754.0,129.0,36.0,87.0
1384,Hassan Whiteside,POR,C,27093018.0,26050.98,30,25.0,1040.0,67.0,2008.0,78.0,26.0,196.0
1385,Cory Joseph,SAC,PG,12000000.0,26200.87,28,10.1,458.0,72.0,1759.0,251.0,53.0,21.0
1386,Thanasis Antetokounmpo,MIL,SF,1445697.0,26285.4,27,12.2,55.0,20.0,129.0,15.0,7.0,2.0
1387,Talen Horton-Tucker,LAL,SG,898310.0,26420.88,19,12.3,34.0,6.0,81.0,6.0,8.0,1.0
1388,Danny Green,LAL,SG,14634146.0,26753.47,32,10.8,547.0,68.0,1687.0,91.0,85.0,32.0
1389,Eric Gordon,HOU,SF,14057730.0,27034.1,31,10.3,520.0,36.0,1016.0,54.0,23.0,13.0
1390,Tristan Thompson,CLE,C,18539130.0,27103.99,28,16.8,684.0,57.0,1721.0,120.0,33.0,50.0
1391,Dwight Powell,DAL,C,10259375.0,27285.57,28,15.9,376.0,40.0,1061.0,59.0,34.0,22.0
1392,Serge Ibaka,TOR,C,23271604.0,27540.36,30,17.3,845.0,55.0,1485.0,77.0,28.0,46.0
1393,Thabo Sefolosha,HOU,PF,2564753.0,27877.75,35,9.4,92.0,41.0,436.0,25.0,24.0,12.0
1394,Jimmy Butler,MIA,SF,32742000.0,28299.05,30,23.6,1157.0,58.0,1959.0,350.0,103.0,32.0
1395,Kemba Walker,BOS,PG,32742000.0,28595.63,29,20.0,1145.0,56.0,1742.0,268.0,48.0,28.0
1396,Kevin Love,CLE,PF,28900000.0,29280.65,31,17.9,987.0,56.0,1780.0,178.0,33.0,19.0
1397,Karl-Anthony Towns,MIN,C,27250000.0,29427.65,24,26.5,926.0,35.0,1187.0,153.0,33.0,42.0
1398,Kyle Lowry,TOR,PG,33296296.0,29570.42,33,17.7,1126.0,58.0,2098.0,433.0,82.0,26.0
1399,Markieff Morris,LAL,PF,2241808.0,30294.7,30,12.7,74.0,14.0,199.0,8.0,5.0,6.0
1400,Clint Capela,HOU,C,16456522.0,30306.67,25,20.6,543.0,39.0,1279.0,48.0,33.0,72.0
1401,Justin Robinson,WAS,PG,395866.0,30451.23,22,8.2,13.0,9.0,49.0,7.0,0.0,1.0
1402,Patrick Beverley,LAC,PG,12345679.0,30483.16,31,12.5,405.0,51.0,1342.0,183.0,54.0,25.0
1403,Gary Harris,DEN,SG,17839286.0,30704.45,25,9.7,581.0,56.0,1780.0,118.0,76.0,14.0
1404,Chris Paul,OKC,PG,38506482.0,31255.26,34,21.7,1232.0,70.0,2208.0,472.0,111.0,11.0
1405,Paul George,LAC,SF,33005556.0,31951.17,29,21.1,1033.0,48.0,1419.0,185.0,68.0,20.0
1406,Mason Plumlee,DEN,C,14041096.0,32130.65,29,18.8,437.0,61.0,1057.0,154.0,33.0,38.0
1407,Willie Cauley-Stein,DAL,C,2177483.0,32499.75,26,22.2,67.0,13.0,157.0,10.0,4.0,11.0
1408,Jae Crowder,MIA,SF,7815533.0,32976.93,29,16.3,237.0,20.0,553.0,36.0,25.0,10.0
1409,T.J. Leaf,IND,PF,2813280.0,33491.43,22,12.9,84.0,28.0,222.0,9.0,10.0,4.0
1410,Caleb Swanigan,POR,PF,2033160.0,33886.0,22,-0.1,60.0,20.0,265.0,29.0,2.0,5.0
1411,Jordan McRae,DET,SG,1645357.0,35007.6,28,14.2,47.0,4.0,98.0,7.0,0.0,0.0
1412,Al Horford,PHI,C,28000000.0,35087.72,33,15.7,798.0,67.0,2025.0,270.0,52.0,61.0
1413,Melvin Frazier,ORL,SG,1416852.0,35421.3,23,9.8,40.0,19.0,126.0,3.0,9.0,2.0
1414,Josh Jackson,MEM,SG,7059480.0,35653.94,22,14.1,198.0,22.0,381.0,35.0,18.0,9.0
1415,Gordon Hayward,BOS,SF,32700690.0,35974.36,29,18.1,909.0,52.0,1740.0,212.0,38.0,22.0
1416,Meyers Leonard,MIA,C,11286515.0,36525.94,27,10.6,309.0,51.0,1034.0,55.0,14.0,15.0
1417,Jared Dudley,LAL,SF,2564753.0,37716.96,34,7.8,68.0,45.0,364.0,28.0,15.0,3.0
1418,Steven Adams,OKC,C,25842697.0,37781.72,26,20.5,684.0,63.0,1680.0,146.0,51.0,67.0
1419,Keita Bates-Diop,DEN,SF,1416852.0,38293.3,24,12.5,37.0,7.0,98.0,0.0,2.0,4.0
1420,Derrick Favors,NOP,C,17650000.0,38453.16,28,18.5,459.0,51.0,1243.0,81.0,30.0,46.0
1421,Anthony Tolliver,MEM,PF,2419852.0,39029.87,34,8.0,62.0,13.0,236.0,10.0,7.0,1.0
1422,Alize Johnson,IND,SF,1416852.0,41672.12,23,13.3,34.0,17.0,118.0,7.0,3.0,2.0
1423,Wayne Ellington,NYK,SG,7804878.0,42649.61,32,8.5,183.0,36.0,558.0,44.0,13.0,4.0
1424,Bismack Biyombo,CHO,C,17000000.0,43257.0,27,16.1,393.0,53.0,1029.0,50.0,10.0,49.0
1425,Romeo Langford,BOS,SG,3458400.0,43777.22,20,5.4,79.0,32.0,370.0,13.0,8.0,8.0
1426,Robert Covington,HOU,C,11301219.0,44318.51,29,13.1,255.0,22.0,726.0,32.0,35.0,48.0
1427,Malcolm Miller,TOR,SF,1588231.0,45378.03,26,6.7,35.0,28.0,162.0,11.0,5.0,2.0
1428,Alex Len,SAC,C,4160000.0,46741.57,26,18.2,89.0,15.0,225.0,8.0,3.0,15.0
1429,Mfiondu Kabengele,LAC,C,1977000.0,47071.43,22,18.2,42.0,12.0,64.0,2.0,2.0,2.0
1430,Mike Conley,UTA,PG,32511623.0,48165.37,32,14.1,675.0,47.0,1363.0,208.0,36.0,5.0
1431,Khyri Thomas,DET,SG,838464.0,49321.41,23,3.1,17.0,8.0,61.0,3.0,3.0,0.0
1432,Paul Millsap,DEN,PF,30500000.0,51607.45,34,16.9,591.0,51.0,1240.0,83.0,44.0,30.0
1433,Trevor Ariza,POR,SF,12200000.0,52813.85,34,11.0,231.0,21.0,702.0,41.0,34.0,8.0
1434,Ignas Brazdeikis,NYK,SF,898310.0,52841.76,21,3.2,17.0,9.0,53.0,4.0,0.0,1.0
1435,Draymond Green,GSW,PF,18539130.0,53736.61,29,12.5,345.0,43.0,1222.0,266.0,59.0,33.0
1436,Matthew Dellavedova,CLE,PG,9607500.0,54279.66,29,8.1,177.0,57.0,821.0,180.0,20.0,2.0
1437,Ian Mahinmi,WAS,C,15450051.0,54593.82,33,14.2,283.0,38.0,808.0,49.0,31.0,44.0
1438,Zach Collins,POR,PF,4240200.0,55067.53,22,9.9,77.0,11.0,290.0,16.0,5.0,5.0
1439,Kyrie Irving,BRK,PG,31742000.0,57923.36,27,26.2,548.0,20.0,658.0,128.0,27.0,10.0
1440,Luc Mbah a Moute,HOU,PF,289803.0,57960.6,33,6.4,5.0,3.0,25.0,0.0,2.0,0.0
1441,Corey Brewer,SAC,SG,289803.0,57960.6,33,8.7,5.0,5.0,33.0,2.0,4.0,0.0
1442,Jamal Crawford,BRK,SG,289803.0,57960.6,39,33.2,5.0,1.0,6.0,3.0,0.0,0.0
1443,Stanley Johnson,TOR,PF,3623000.0,60383.33,23,9.9,60.0,25.0,150.0,20.0,6.0,4.0
1444,Vincent Poirier,BOS,C,2505793.0,61116.9,26,12.7,41.0,22.0,130.0,8.0,2.0,9.0
1445,Dewan Hernandez,TOR,C,898310.0,64165.0,23,12.9,14.0,6.0,28.0,3.0,1.0,0.0
1446,Kevon Looney,GSW,C,4464286.0,65651.26,23,9.4,68.0,20.0,262.0,20.0,12.0,6.0
1447,Bruno Caboclo,HOU,C,1845301.0,65903.61,24,14.1,28.0,8.0,52.0,2.0,5.0,5.0
1448,Dante Exum,CLE,SG,9600000.0,71111.11,24,10.3,135.0,24.0,402.0,33.0,12.0,6.0
1449,Kent Bazemore,SAC,SG,19269662.0,74979.23,30,12.6,257.0,25.0,577.0,32.0,29.0,9.0
